TakingPill AcX AcY AcZ GyX GyY GyZ
1 1644 -3168 -18064 14458 -2383 -423
1 3400 -5260 -18320 15140 -3809 -3672
1 2452 -5556 -17612 20915 -8078 -3444
1 1160 -9288 -15472 18022 -4443 -3998
1 2236 -8952 -17688 16909 -3332 -4454
1 3348 -10008 -11532 15656 -3258 -4449
1 2988 -11656 -13724 10325 -1687 -6116
1 1988 -12228 -10612 9996 453 -4207
1 2888 -12560 -9436 6904 943 -1428
1 4680 -12936 -9888 8027 87 -1505
1 3260 -14924 -8464 9354 -1322 -1838
1 3636 -14992 -5888 10135 -1252 -1307
1 3100 -16224 -7164 6135 -104 -1564
1 3048 -16580 -6552 5254 -1924 469
1 3204 -13456 -3476 3896 -555 2580
1 4848 -15600 -5484 5003 -1752 -684
1 -312 -17108 -5260 651 858 2705
1 7632 -10944 -2116 6072 -2495 1106
1 2112 -18804 -2416 6023 1373 -5450
1 1848 -17928 -3992 415 -225 3597
1 8624 -9576 -2020 3716 -2939 457
1 1692 -18904 -508 5368 -467 -5017
1 2908 -16312 -3200 -158 -156 3111
1 7576 -9884 -1648 196 -662 -761
1 3772 -16432 204 3647 23 -3480
1 2152 -16536 -2484 539 -2818 518
1 5136 -11196 -796 2800 -3561 2636
1 3056 -16264 -664 -526 1074 -4908
1 340 -21272 -904 -768 -2083 1262
1 7900 -9484 -1432 -2394 -2317 3312
1 2560 -14872 -2900 -3257 581 -6361
1 2140 -19704 -2796 -5082 678 -946
1 3044 -13464 -5880 -9123 1327 -1088
1 2928 -14944 -4116 -11567 4665 -2898
1 1876 -15452 -8296 -14031 2178 750
1 2184 -15936 -7480 -10602 5160 544
